From,To,Distance
CUB,PRK,12499
CUB,ROK,12638
CUB,JPN,12154
CUB,IND,13906
CUB,BHU,14356
CUB,PAK,13226
CUB,BNG,14805
CUB,MYA,15638
CUB,SRI,16217
CUB,NEP,14264
CUB,MAD,16033
CUB,THI,15962
CUB,CAM,16119
CUB,LAO,15495
CUB,VNM,16106
CUB,DRV,15015
CUB,RVN,16109
CUB,MAL,17061
CUB,SIN,17232
CUB,BRU,16417
CUB,PHI,15149
CUB,INS,17861
CUB,ETM,16616
CUB,AUL,14889
CUB,PNG,14502
CUB,NEW,12707
CUB,VAN,12763
CUB,SOL,13273
CUB,FJI,11682
CUB,MSI,11571
CUB,PAL,14747
CUB,FSM,12628
CUB,WSM,12134
HAI,USA,2286
HAI,CAN,2979
HAI,BHM,727
HAI,CUB,1152
HAI,DOM,246
HAI,JAM,480
HAI,TRI,1478
HAI,BAR,1497
HAI,DMA,1307
HAI,GRN,1354
HAI,SLU,1307
HAI,SVG,1333
HAI,AAB,1128
HAI,SKN,1023
HAI,BLZ,1679
HAI,MEX,2817
HAI,GUA,1983
HAI,HON,1674
HAI,SAL,1873
HAI,NIC,1664
HAI,COS,1596
HAI,PAN,1323
HAI,COL,1568
HAI,VEN,1116
HAI,GUY,2014
HAI,SUR,2342
HAI,ECU,2177
HAI,PER,3448
HAI,BRA,4621
HAI,BOL,3887
HAI,PAR,5116
HAI,CHL,5750
HAI,ARG,6037
HAI,URU,6107
HAI,UK,7185
HAI,IRE,6759
HAI,NTH,7507
HAI,BEL,7480
HAI,LUX,7613
HAI,FRN,7343
HAI,MNC,7770
HAI,LIE,7888
HAI,SWZ,7735
HAI,SPN,6888
HAI,AND,7307
HAI,POR,6414
HAI,GMY,8097
HAI,GFR,7682
HAI,GDR,8097
HAI,POL,8610
HAI,AUH,8375
HAI,AUS,8375
HAI,HUN,8606
HAI,CZE,8202
HAI,CZR,8202
HAI,SLO,8436
HAI,ITA,8244
HAI,SNM,8168
HAI,MLT,8532
HAI,ALB,8827
HAI,SER,8790
HAI,MNG,8742
HAI,MAC,8932
HAI,CRO,8418
HAI,YUG,8790
HAI,BOS,8664
HAI,SLV,8283
HAI,GRC,9242
HAI,CYP,10166
HAI,BUL,9075
HAI,MLD,9306
HAI,RUM,9224
HAI,RUS,9511
HAI,EST,8621
HAI,LAT,8681
HAI,LIT,8827
HAI,UKR,9298
HAI,BLR,8997
HAI,ARM,10778
HAI,GRG,10799
HAI,AZE,11155
HAI,FIN,8601
HAI,SWD,8250
HAI,NOR,7834
HAI,DEN,7986
HAI,ICE,6287
HAI,CAP,5121
HAI,STP,8843
HAI,GNB,6121
HAI,EQG,9123
HAI,GAM,5961
HAI,MLI,6899
HAI,SEN,5847
HAI,BEN,8210
HAI,MAA,5916
HAI,NIR,7935
HAI,CDI,7367
HAI,GUI,6393
HAI,BFO,7582
HAI,LBR,6790
HAI,SIE,6460
HAI,GHA,7981
HAI,TOG,8054
HAI,CAO,9243
HAI,NIG,8281
HAI,GAB,9141
HAI,CEN,9963
HAI,CHA,9301
HAI,CON,9900
HAI,DRC,9900
HAI,UGA,11560
HAI,KEN,12053
HAI,TAZ,12495
HAI,ZAN,12484
HAI,BUI,11337
HAI,RWA,11356
HAI,SOM,12820
HAI,DJI,12166
HAI,ETH,11843
HAI,ERI,11587
HAI,ANG,9819
HAI,MZM,12336
HAI,ZAM,11647
HAI,ZIM,11960
HAI,MAW,12122
HAI,SAF,11904
HAI,TRA,11904
HAI,OFS,11799
HAI,NAM,10718
HAI,LES,11888
HAI,BOT,11648
HAI,SWA,12205
HAI,MAG,13706
HAI,COM,13074
HAI,MAS,14778
HAI,SEY,14154
HAI,MOR,6639
HAI,ALG,7503
HAI,TUN,8138
HAI,LIB,8533
